Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_00_656.jpg;0;1;0;1.920442;101.3836;87.29244;1.289803;44.83284;-0.001093001
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_00_707.jpg;0;1;0;1.96554;101.4676;87.37531;1.292609;44.8216;-0.001092361
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_00_756.jpg;0;1;0;1.995336;101.5247;87.43161;1.295876;44.81539;-0.001113659
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_00_807.jpg;0;1;0;2.040202;101.612;87.51762;1.299526;44.80433;-0.001144137
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_00_857.jpg;0;1;0;2.070126;101.6713;87.576;1.302275;44.7956;-0.001140669
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_00_907.jpg;0;1;0;2.113931;101.7617;87.66511;1.304865;44.7849;-0.001151345
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_00_956.jpg;0;1;0;2.144226;101.8231;87.72556;1.308555;44.77689;-0.001179582
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_007.jpg;0;1;0;2.18781;101.9168;87.81773;1.311344;44.76638;-0.001184227
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_056.jpg;0;1;0;2.217952;101.9803;87.88023;1.314418;44.75834;-0.001210703
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_107.jpg;0;1;0;2.261309;102.0771;87.97546;1.315562;44.74768;-0.001203177
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_157.jpg;0;1;0;2.291281;102.1427;88.03997;1.317326;44.73951;-0.001217856
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_207.jpg;0;1;0;2.334903;102.2428;88.13829;1.323495;44.72819;-0.001247162
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_257.jpg;0;1;0;2.363408;102.3104;88.20478;1.322192;44.72115;-0.001233444
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_307.jpg;0;1;0;2.407591;102.4136;88.30609;1.324647;44.70887;-0.001251273
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_357.jpg;0;1;0;2.436431;102.4834;88.37464;1.32817;44.70117;-0.001275614
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_406.jpg;0;1;0;2.479592;102.5897;88.479;1.335136;44.68991;-0.001294619
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_456.jpg;0;1;0;2.507808;102.6616;88.54947;1.333112;44.68268;-0.001286772
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_506.jpg;2.239519;1;0;2.551393;102.7705;88.65719;1.333039;44.78619;-0.002120333
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_556.jpg;4.51185;1;0;2.579507;102.8433;88.73071;1.333506;45.01902;-0.0033145
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_606.jpg;6.724599;1;0;2.620758;102.952;88.8443;1.327965;45.69281;0.01527731
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_657.jpg;6.006341;1;0;2.647777;103.0241;88.92203;1.314714;46.2882;0.03742552
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_706.jpg;3.758932;1;0;2.690642;103.1332;89.04049;1.288184;47.03203;0.0484954
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_757.jpg;1.505058;1;0;2.719083;103.2069;89.12055;1.272145;47.35551;0.04007585
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_807.jpg;0;1;0;2.761547;103.3195;89.24231;1.276945;47.53164;0.01547534
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_857.jpg;0;1;0;2.788912;103.3957;89.32473;1.298649;47.55226;-0.0007794554
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_907.jpg;0;1;0;2.829811;103.5113;89.45043;1.351477;47.5561;-0.001258385
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_01_957.jpg;0;1;0;2.856252;103.5892;89.53504;1.375545;47.54874;-0.001494748
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_007.jpg;0;1;0;2.899203;103.7072;89.663;1.375086;47.53262;-0.001457331
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_056.jpg;0;1;0;2.928215;103.7867;89.7492;1.36492;47.52008;-0.001436668
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_133.jpg;0;1;0;2.969489;103.9077;89.88017;1.363433;47.50568;-0.0009746985
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_157.jpg;0;1;0;2.99681;103.9893;89.96848;1.364746;47.49377;-0.001421242
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_207.jpg;0;1;0;3.03858;104.1132;90.10251;1.37172;47.47903;-0.00134668
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_256.jpg;0;1;0;3.06532;104.1967;90.19283;1.375504;47.46892;-0.001478255
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_306.jpg;0;1;0;3.106459;104.3233;90.32973;1.376758;47.45564;-0.001489571
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_356.jpg;0;1;0;3.133804;104.4087;90.42197;1.374989;47.4471;-0.001478521
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_406.jpg;0;1;0;3.174381;104.5382;90.56186;1.379485;47.43273;-0.001491761
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_457.jpg;0;1;0;3.201568;104.6255;90.65611;1.383228;47.42413;-0.001058134
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_507.jpg;0;1;0;3.241944;104.7579;90.79891;1.387454;47.40762;-0.001540606
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_556.jpg;0;1;0;3.268998;104.847;90.89504;1.386554;47.3983;-0.001545356
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_607.jpg;0;1;0;3.309147;104.9822;91.04076;1.390783;47.38326;-0.001533082
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_656.jpg;2.2681;1;0;3.336027;105.0729;91.13905;1.389307;47.43705;-0.001947657
